NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,,,,,18.787129000000277,None,2,0.015062099999340717,18.787129000000277,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,,,,,18.87016180000137,None,None,,18.87016180000137,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,19.870242810000853,None,None,,19.870242810000853,None,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,2,0,2,0,0,0,0,0,,,,,,,,,,,19.937178100000892,None,1,1.20735969999987,19.937178100000892,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,2,0,2,0,0,1,1,1,,,,,,,,,,,21.237697100001242,None,2,0.30283679999956803,21.237697100001242,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,2,0,2,0,0,2,2,2,,,,,,,,,,,21.654279399999723,None,3,0.33365669999875536,21.654279399999723,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,2,0,2,0,0,3,3,3,,,,,,,,,,,22.088497200000347,None,1,0.049428999998781364,22.088497200000347,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,2,0,2,0,0,4,4,4,,,,,,,,,,,22.221482099999776,None,2,0.3487205000001268,22.221482099999776,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,2,0,2,0,0,5,5,5,,,,,,,,,,,22.67168710000078,None,3,0.030978000000686734,22.67168710000078,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,2,0,2,0,0,6,6,6,,,,,,,,,,,22.788544300001377,None,1,0.05502320000050531,22.788544300001377,None,,,,,,,,,,,,,,,001,2021_Nov_16_1806,TMTAB,2021.2.3,59.97080621155811,
